,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12642,154,Adelaide,1.0,4.964691093487608e-06,2,0.6387154326494202,0.623046875,0.625
12643,154,Albury,1.0,0.043106507135400964,2,0.6254528985507246,0.6042471042471043,0.4803921568627451
12644,154,Bendigo,1.0,0.5384017747223802,2,0.6840463458110517,0.6356589147286822,0.34065934065934067
12645,154,Penrith,1.0,0.0009686352132326888,2,0.649556696220252,0.6316872427983539,0.5376344086021505
12646,154,Tuggeranong,1.0,0.05081194375841405,2,0.7314685314685314,0.6378676470588235,0.40540540540540543
12647,154,Richmond,1.0,0.0013834097547665654,2,0.6722810394610202,0.62,0.5568181818181818
12648,154,SalmonGums,1.0,0.017713622687600728,2,0.711142993782879,0.7022058823529411,0.3516483516483517
12649,154,PearceRAAF,1.0,9.48784802401746e-05,2,0.6827438370846731,0.6106382978723405,0.6210526315789474
12650,154,BadgerysCreek,1.0,8.951116659483968e-05,2,0.6857976653696498,0.6450381679389313,0.5370370370370371
12651,154,WaggaWagga,1.0,0.00010677562128441,2,0.694868238557559,0.6622390891840607,0.5151515151515151
12652,154,PerthAirport,1.0,4.102632573874898e-11,2,0.6974335884736605,0.6800766283524904,0.6989247311827957
12653,154,Moree,1.0,0.8923586287107073,2,0.8542635658914729,0.8033088235294118,0.06666666666666667
12654,154,Nuriootpa,1.0,7.543621910977601e-06,2,0.7203947368421053,0.6766169154228856,0.49586776859504134
12655,154,Nhil,1.0,0.056728506750558225,2,0.7716390423572744,0.6779661016949152,0.425531914893617
12656,155,Canberra,1.0,0.0014069242443643833,2,0.7137161084529505,0.6571428571428571,0.4351145038167939
12657,155,Perth,1.0,1.7662902720329912e-09,2,0.6415174765558397,0.6075731497418244,0.7572815533980582
12658,155,Adelaide,0.4772453589888188,0.0006933169383989767,2,0.6120805369127517,0.5692007797270955,0.6388888888888888
12659,155,Albury,1.0,0.1303274353869651,2,0.6292237442922375,0.5682242990654206,0.5
12660,155,Bendigo,1.0,0.03493320959313688,2,0.6406179009541118,0.6064400715563506,0.4946236559139785
12661,155,Penrith,1.0,0.007969028598855636,2,0.632,0.5722772277227722,0.5825242718446602
12662,155,Tuggeranong,1.0,0.0015408410368613005,2,0.6854395604395604,0.6462450592885376,0.5
12663,155,Richmond,1.0,0.00010371034594048762,2,0.6321784527764595,0.5823754789272031,0.6597938144329897
